Date,Description,Amount,Type
2024-05-01,ACH CREDIT SALARY INFOSYS,+95000,Credit
2024-05-03,STARBUCKS STORE #1209,-350,Debit
2024-05-04,AMZN Mktp US*1239,-4500,Debit
2024-05-05,NETFLIX.COM,-1499,Debit
2024-05-08,UBER TRIP HELP.UBER.COM,-450,Debit
2024-05-10,CULT.FIT GYM SUBSCRIPTION,-2500,Debit
2024-05-12,WHOLEFOODS MRKT #981,-6200,Debit
2024-05-15,SPOTIFY PREMIUM,-119,Debit
2024-05-18,ZOMATO - SMOKE HOUSE DELI,-1200,Debit
2024-05-20,INDIAN OIL CORP,-3000,Debit
2024-05-22,MAKEMYTRIP IND,-12500,Debit
2024-05-25,APOLLO PHARMACY,-850,Debit
2024-05-28,AWS CLOUD SERVICES,-800,Debit
2024-06-01,ACH CREDIT SALARY INFOSYS,+95000,Credit
2024-06-02,GREENWOOD RESIDENCY RENT,-22000,Debit
2024-06-05,NETFLIX.COM,-1499,Debit
2024-06-10,CULT.FIT GYM SUBSCRIPTION,-2500,Debit
2024-06-15,SPOTIFY PREMIUM,-119,Debit
